sagoNo,sido,sigungu,sagoReason,sagoDate,dong,addr,sagoLat,sagoLon,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,full_addr,lon,lat,geo_query,geo_method,geo_level,x_5187,y_5187
20200238,부산광역시,부산진구,,20200724,개금동,진사로 61번길 29,0E-10,0E-10,1.20,1.20,0.30,,,0,0,0,복구완료,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,0,20201215,00010101,개금동 진사로 61번길 29,129.01644586069,35.146387866622,부산광역시 부산진구 개금동 진사로,address,도로/동,201498.63,283335.56
20200239,부산광역시,부산진구,,20200729,부전동,가야대로 763-1,0E-10,0E-10,0.80,0.80,2.50,,,0,0,0,복구완료,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,0,20200923,00010101,부전동 가야대로 763-1,129.055135862983,35.1579093342302,부산광역시 부산진구 부전동 가야대로 763-1,address,번지,205023.56,284615.06
20200242,부산광역시,기장군,,20200725,정관면 달산리,44-45번지 앞(산단5로),0E-10,0E-10,1.20,7.00,1.00,기타,,0,0,0,복구완료,하수박스 손상부 복구 및 토사되메우기 완료,0,20210202,00010101,정관면 달산리 44-45번지 앞(산단5로),129.202485346975,35.3168191195245,부산광역시 기장군 정관면 달산리 44-45,address,번지,218413.0,302262.71
20200269,부산광역시,기장군,,20200724,일광면 원리,748-2번지 일원(부산~울산고속도로 원리 2교 하부),0E-10,0E-10,5.00,10.00,6.00,기타,,0,0,0,복구완료,하수박스 손상부 복구 및 토사되메우기 완료,0,20200824,00010101,일광면 원리 748-2번지 일원(부산~울산고속도로 원리 2교 하부),129.22886113025,35.309765514974,부산광역시 기장군 일광면 원리 748-2,address,번지,220813.29,301485.35
20200311,부산광역시,동래구,,20200812,사직동,802-4번지 일원,0E-10,0E-10,0.80,0.80,2.00,,,0,0,0,복구완료,굴착부분 되메우기 및 포장복구 완료,0,20200830,00010101,사직동 802-4번지 일원,129.061594814272,35.1958187468277,부산광역시 동래구 사직동 802-4,address,번지,205609.45,288821.22
20200312,부산광역시,남구,,20200728,대연동,209-4 번지,0E-10,0E-10,2.00,1.00,1.00,,,0,0,0,복구완료,하수 단가 조치,0,20200729,00010101,대연동 209-4 번지,129.097188871439,35.1464061593025,부산광역시 남구 대연동 209-4,address,번지,208856.36,283341.79
20200313,부산광역시,동구,,20200723,범일동,1542-7,0E-10,0E-10,1.00,1.00,0.70,,,0,0,0,복구완료,다짐불량에 따른 침하로 확인 굴착 후 위험부분 재다짐 후 포장,0,20200828,00010101,범일동 1542-7,129.043869378513,35.1453480507873,부산광역시 동구 범일동 1542-7,address,번지,203997.66,283220.95
20200314,부산광역시,동구,,20200723,범일동,830-100 (자성로 133번길 26-2) ,0E-10,0E-10,1.00,1.00,0.70,,,0,0,0,복구완료,"관 부식에 따른 하수 누수로써, 부분부식 관 교체",0,20200828,00010101,범일동 830-100 (자성로 133번길 26-2),129.064684572129,35.1395112653002,부산광역시 동구 범일동 830-100,address,번지,205894.9,282574.44
20200315,부산광역시,동구,,20200723,범일동,1453-8 (망양로 921),0E-10,0E-10,1.00,1.00,0.50,,,0,0,0,복구완료,골재 및 몰탈 혼합하여 되메우기 재시공 및 포장복구 완료,0,20200724,00010101,범일동 1453-8 (망양로 921),129.051029589362,35.1404153323347,부산광역시 동구 범일동 1453-8,address,번지,204650.43,282674.01
20200316,부산광역시,남구,,20200715,용당동,525-7,0E-10,0E-10,1.00,3.80,1.50,,,0,0,0,복구완료,하수 단가 조치,0,20200717,00010101,용당동 525-7,129.099923039386,35.1231442518787,부산광역시 남구 용당동 525-7,address,번지,209108.11,280761.28
20200317,부산광역시,남구,,20200711,문현동,920-4,0E-10,0E-10,1.00,2.00,1.00,,,0,0,0,복구완료,절삭포장,0,20200826,00010101,문현동 920-4,129.070039634778,35.1342699047641,부산광역시 남구 문현동 920-4,address,번지,206383.33,281993.27
